state,crop_type,farm_size_ha,avg_rainfall_mm,avg_temperature_c,soil_ph,soil_type,fertilizer_kg_per_ha,pesticide_used,irrigation_used,seed_variety,yield_tonnes_per_ha
Akwa Ibom,Yam,0.9,1700.2,24.5,5.24,Sandy,111.1,No,No,Local,7.07
Kaduna,Sorghum,1.98,956.5,31.8,6.45,Clay,78.8,Yes,No,Improved,1.44
Sokoto,Maize,1.21,483.9,31.5,4.46,Sandy,178.2,No,No,Local,1.51
Bauchi,Cassava,2.15,766.7,31.2,5.09,Clay,73.2,No,No,Local,8.14
Borno,Cassava,0.97,605.4,32.8,6.04,Sandy,128.3,No,No,Local,9.15
Edo,Maize,3.91,2486.7,27.8,5.62,Loamy,121.1,Yes,Yes,Local,2.26
Abia,Cassava,2.44,2332,29.2,4.85,Clay,64.3,No,No,Local,7.7
Kogi,Yam,1.48,1097.1,29.1,7.13,Clay,90.3,No,No,Local,6.95
Abia,Sorghum,1.6,2293.3,29.1,5.51,Sandy,80.6,Yes,Yes,Local,1.44
Anambra,Yam,0.29,1859.5,24.2,5.69,Clay,46.2,No,No,Improved,10.51
Kwara,Cassava,0.96,1405.5,30.6,6.87,Clay,130.6,No,No,Local,8.19
Anambra,Maize,3.88,2049.1,27.3,6.02,Clay,127.7,No,No,Improved,2.57
Kaduna,Sorghum,2.96,778.3,33.1,6.51,Sandy,0,Yes,No,Local,1.19
Kaduna,Sorghum,3.3,833.9,30.8,5.6,Clay,48.8,No,Yes,Local,1.55
Imo,Maize,3.82,1574.9,22.3,6.2,Loamy,140.5,Yes,No,Local,2.09
Kwara,Maize,1.18,1492.3,28,6.27,Loamy,62.5,Yes,No,Local,2.45
Niger,Sorghum,4.76,1379.9,31.8,5,Sandy,76.7,Yes,Yes,Improved,1.6
Ebonyi,Rice,1.33,2477.2,27.4,6.16,Clay,145.7,No,No,Improved,3.58
Taraba,Cassava,1.17,1025.9,24.7,5.92,Clay,147.9,Yes,No,Improved,10.45
Sokoto,Yam,0.93,618.8,33.1,4.89,Loamy,116.2,No,No,Local,7.14
Adamawa,Sorghum,1.5,1165.7,25.9,7.11,Loamy,0,No,No,Local,0.89
Borno,Cassava,1.4,347.4,34.6,6.92,Sandy,87.5,No,No,Improved,8.01
Adamawa,Sorghum,17.67,1003.4,29.6,5.52,Loamy,42.7,Yes,No,Local,1.42
Jigawa,Rice,4.05,692.3,36.1,6.26,Sandy,65.6,No,No,Improved,2.61
Cross River,Cassava,3.67,2335.5,29.7,6.15,Clay,178.7,Yes,No,Local,7.96
Kaduna,Rice,1.89,635,34.9,5.85,Sandy,157.9,No,No,Local,2.55
Sokoto,Yam,0.34,344.8,31.7,5.74,Sandy,103.3,No,No,Local,6.16
Ekiti,Sorghum,1.4,1909.7,28.4,6.16,Sandy,18.4,Yes,No,Improved,1.38
Imo,Rice,1.44,1676.6,23.6,6.57,Loamy,149.6,Yes,No,Local,2.89
Akwa Ibom,Rice,0.58,2143.5,26.3,5.29,Clay,120.6,Yes,No,Local,2.99
Kano,Cassava,2.33,688.3,31.9,6.21,Sandy,73.5,No,No,Improved,11.84
Ogun,Rice,1.16,2153.7,26,5.24,Clay,172.1,No,No,Improved,3.15
Ondo,Sorghum,1.88,1575.3,26.7,6.41,Clay,32.3,Yes,No,Local,1.15
Bauchi,Rice,1.81,701.1,30.7,7.48,Clay,107.9,Yes,Yes,Improved,4.88
Anambra,Sorghum,3.02,1925.1,23.2,5.59,Sandy,66.6,No,No,Improved,1.56
Anambra,Maize,2.07,2111.5,28.9,5.67,Clay,146.4,Yes,Yes,Improved,2.14
Osun,Rice,0.3,1930.8,26.7,5.27,Loamy,153.7,No,No,Local,3.04
Imo,Sorghum,1.2,1633,29.3,6.42,Loamy,25.4,No,No,Improved,1.57
Delta,Sorghum,0.81,2375.1,23.3,5.8,Sandy,42.1,Yes,No,Improved,1.54
Lagos,Sorghum,0.48,1774.8,27.5,6.77,Clay,146.9,No,No,Local,0.99
Jigawa,Rice,1.44,420,34.6,6.12,Loamy,81.5,Yes,No,Improved,3.64
Sokoto,Sorghum,1.06,618.1,31.9,5.85,Sandy,18.4,No,No,Local,1.14
Akwa Ibom,Rice,0.61,1892.3,26.6,5.86,Clay,133,No,No,Improved,3.08
Bauchi,Maize,15.96,722.9,31.5,6.63,Sandy,123.9,No,No,Improved,2.62
Gombe,Sorghum,9.66,662.4,29,5.33,Sandy,65.9,No,No,Improved,1.89
Benue,Maize,3.97,1265.8,30.9,6.99,Loamy,115,No,No,Local,2.57
Sokoto,Sorghum,1.52,601.8,32.3,6.14,Sandy,13.6,Yes,No,Improved,1.89
Ebonyi,Yam,1.02,2462.6,24.2,6.28,Clay,152.8,Yes,No,Improved,8.18
Gombe,Rice,0.37,940.4,26.8,5.34,Loamy,51.3,No,No,Improved,3.31
Kano,Maize,1.51,949.5,33.4,6.26,Loamy,136,Yes,No,Improved,2.95
Delta,Sorghum,1.84,1812.3,29.1,4.25,Loamy,70.9,Yes,No,Improved,1.44
Plateau,Maize,3.46,1490.3,25.2,5.53,Loamy,149.3,Yes,Yes,Improved,3.82
Ebonyi,Rice,0.79,2067.3,27.8,5.33,Clay,87.8,Yes,Yes,Improved,4.4
Benue,Rice,1.29,1297.5,25,7.23,Loamy,72.2,No,No,Improved,3.06
Rivers,Maize,1.18,2473,27,6.24,Loamy,25.7,No,No,Improved,2.03
Plateau,Sorghum,5.19,1062.2,24.1,5.83,Sandy,122.6,No,Yes,Improved,1.4
Taraba,Sorghum,0.48,1482,25.2,4.61,Loamy,39.7,Yes,Yes,Improved,1.62
Rivers,Yam,2.76,1885.3,22.1,6.29,Loamy,74.7,No,No,Improved,8.02
Edo,Rice,1.44,2482.7,23.1,5.15,Loamy,96.6,Yes,No,Local,2.5
Enugu,Cassava,0.61,1519.9,24.2,6.19,Clay,105.5,No,No,Improved,6.68
Ondo,Yam,2.02,2391.9,25,6.21,Loamy,119.8,Yes,No,Improved,10.69
Katsina,Sorghum,0.8,425.3,33.2,6.85,Loamy,81.4,No,No,Local,1.36
Osun,Maize,0.59,1937.2,26.7,6.8,Loamy,108.7,Yes,No,Local,2.33
Ogun,Sorghum,2.32,1847.8,24.2,4.82,Loamy,87.1,Yes,No,Local,1.2
Zamfara,Maize,1.9,977.9,26.9,5.36,Sandy,166.4,No,No,Improved,2.9
Katsina,Maize,4.54,578,37.4,7.22,Loamy,190,No,Yes,Improved,2.13
Borno,Rice,1.03,519.5,37.2,4.29,Loamy,106.1,No,Yes,Improved,3.34
Anambra,Cassava,2.9,2232.1,23.2,7.28,Loamy,89.1,Yes,No,Improved,10.68
Nasarawa,Cassava,3.64,1419.3,24.6,5.68,Clay,104.1,Yes,Yes,Improved,13.12
Rivers,Cassava,1.8,1657,28.9,4.55,Loamy,104.8,No,Yes,Improved,12.53
Ekiti,Yam,2.17,2395.2,22.7,4.94,Sandy,64.8,No,No,Local,6.27
Yobe,Yam,3.78,333.1,32.3,5.76,Clay,92.6,No,No,Local,7.44
Kogi,Sorghum,1.23,1092.6,31.1,6.87,Sandy,103.6,No,No,Local,1.18
Zamfara,Sorghum,2.55,644.9,31.9,6.65,Loamy,47.1,Yes,No,Improved,2.27
Edo,Cassava,6.23,2194.8,25.7,6.94,Loamy,125.4,No,No,Local,6.36
Enugu,Rice,5.38,1503.7,24.3,5.86,Loamy,165.7,No,Yes,Improved,3.7
Cross River,Cassava,1.46,1528.3,22.5,6.68,Sandy,68.2,Yes,No,Improved,8.53
Ebonyi,Sorghum,3.85,1693.9,30,5.94,Clay,82.4,Yes,No,Local,1.23
Yobe,Rice,3.49,483.1,36.8,5.02,Loamy,86.8,No,No,Local,2.52
Borno,Rice,9.63,656.2,35.2,5.95,Sandy,102.1,No,No,Local,2.41
Kebbi,Yam,0.89,802.6,26.5,6.01,Sandy,156.9,No,Yes,Improved,11.15
Adamawa,Sorghum,1.91,1074.5,28.5,7.38,Loamy,60.9,Yes,No,Local,0.56
Ondo,Rice,6.12,2034.5,23,7.51,Loamy,126.9,No,No,Improved,2.91
Akwa Ibom,Maize,0.73,2272.4,22.4,5.84,Sandy,109.1,No,No,Improved,2.63
Ogun,Sorghum,2.58,2425.8,28.4,5.42,Loamy,110.4,No,No,Local,1.03
Plateau,Sorghum,2.72,1301,31.8,7.34,Clay,47.8,No,No,Local,1.46
Adamawa,Maize,1.8,1423.4,30.1,5.45,Clay,68.9,Yes,No,Improved,2.49
Sokoto,Yam,6.6,302.3,30.4,6.3,Clay,90.1,Yes,No,Improved,9.67
Delta,Maize,6.37,2389,29.4,5.8,Loamy,134.8,Yes,No,Local,2.22
Akwa Ibom,Yam,2.79,1995.3,25.4,5.98,Clay,177.1,No,No,Improved,7.66
Kogi,Cassava,0.9,1284,26.8,5.89,Loamy,57,Yes,No,Improved,9.86
Osun,Maize,1.5,2308.6,24,5.35,Sandy,98.2,Yes,No,Improved,2.68
Benue,Cassava,0.71,1313.4,29,6.25,Clay,0,No,No,Local,8.74
Zamfara,Sorghum,0.93,970.9,26.2,5.99,Clay,97.6,No,Yes,Local,1.38
Kaduna,Sorghum,0.41,643,28.2,5.45,Clay,103.9,Yes,No,Improved,1.37
Delta,Maize,7.4,2318.1,23.7,5.55,Loamy,115.6,No,Yes,Local,2.27
Kwara,Rice,0.99,1310.8,27.5,6.13,Sandy,109.6,No,No,Improved,3.68
Oyo,Cassava,1.12,1646.3,28.1,5.64,Loamy,80.8,No,No,Local,8.3
Zamfara,Maize,1.3,677.4,33,6.17,Clay,121.9,Yes,No,Local,2.43
Kogi,Yam,1.51,1001.3,29.1,5.65,Loamy,21.1,No,No,Local,8.02
Ebonyi,Sorghum,11.72,1970.1,23.4,5.7,Loamy,52.5,No,Yes,Improved,1.53
Borno,Yam,3.92,461.5,31.4,4.19,Sandy,80.4,No,Yes,Improved,9.56
Osun,Rice,1.17,2410.7,24.7,6.42,Clay,73.5,No,No,Local,2.28
FCT,Rice,1.12,1421,25,5.34,Clay,77.1,Yes,No,Local,2.86
Oyo,Cassava,4.03,2439.8,23.6,5.66,Clay,110.4,No,No,Local,7.73
Bauchi,Sorghum,6.87,822.7,33.4,6.28,Sandy,97.3,Yes,No,Improved,2.13
Gombe,Rice,0.77,955.1,27.5,6.1,Sandy,78.9,No,Yes,Improved,3.53
Kano,Cassava,4.16,894,31.3,6.13,Sandy,156.1,Yes,Yes,Improved,9.11
Kebbi,Cassava,3.93,785.1,30.6,5.59,Clay,98.7,Yes,No,Local,9.91
Anambra,Sorghum,1.16,2008.8,29.4,5.74,Clay,16.8,No,No,Local,0.97
Zamfara,Maize,2.09,607.8,34.8,6.99,Clay,174.1,No,No,Improved,1.45
Akwa Ibom,Rice,0.58,2044.4,23.8,5.46,Loamy,78.9,No,No,Improved,3.18
Yobe,Rice,2.1,389.3,31.6,5.87,Clay,126.3,Yes,No,Local,2.55
Borno,Rice,2.56,460.6,28.8,6.31,Clay,8.9,Yes,No,Local,2.42
Jigawa,Sorghum,2.14,366.6,36.9,5.92,Sandy,89.1,No,No,Local,1.01
Kano,Cassava,0.29,763.7,33,5.9,Sandy,73.1,No,No,Improved,11.24
Adamawa,Cassava,2.15,1196.6,28.7,6.48,Loamy,123,No,No,Improved,10.91
Zamfara,Cassava,1.32,627,28.9,6.06,Sandy,56.1,No,No,Local,7.84
Zamfara,Maize,0.86,949.4,26.4,5.9,Sandy,108.3,No,No,Local,2.12
Osun,Yam,0.47,1926.1,27.9,6.4,Clay,114.9,No,No,Local,8.51
Akwa Ibom,Rice,2.21,2121.3,23.9,5.04,Clay,173.8,No,No,Local,2.64
Jigawa,Rice,2.01,500.2,32,5.65,Clay,106.6,No,No,Local,3.08
Oyo,Sorghum,2.56,1574.7,25.2,6.14,Loamy,103.8,Yes,No,Local,1.15
Edo,Cassava,0.27,2249.1,24.3,6.23,Loamy,22.7,No,No,Local,7.63
Akwa Ibom,Rice,1.25,1790.3,23.6,5.89,Loamy,98.1,Yes,No,Local,2.89
Ondo,Yam,0.82,1652.4,25.9,5.79,Clay,101.6,Yes,No,Improved,11.52
Borno,Cassava,0.37,356.4,32,5.36,Loamy,61.9,No,Yes,Improved,11.25
Cross River,Rice,1.59,2468.4,23.5,5.95,Loamy,119.8,No,No,Improved,4.21
Sokoto,Yam,0.22,487.4,32.2,5.82,Sandy,22.1,Yes,No,Improved,6.74
Bayelsa,Rice,1.24,1887.4,29.3,6.1,Loamy,82.8,Yes,No,Local,2.77
Plateau,Sorghum,1.35,1195.4,30.1,5.97,Clay,156.5,No,No,Local,0.95
Delta,Yam,3.62,2465.2,28,6.53,Clay,146.8,No,No,Improved,10.4
Kaduna,Yam,2.15,757.9,34.1,5.93,Sandy,120.3,Yes,Yes,Improved,9.57
Taraba,Yam,5.32,1460.2,31.1,6.83,Clay,47.4,No,No,Improved,8.28
Niger,Maize,3.84,1138.4,29.5,6.01,Sandy,96.8,Yes,Yes,Local,2.6
Kaduna,Yam,7.88,725.9,27.2,7.37,Loamy,17,No,No,Local,6.82
Bauchi,Sorghum,4.57,945.3,30.1,5.61,Sandy,28.3,Yes,No,Local,1.35
Nasarawa,Maize,2.63,1338.8,30.8,6.89,Sandy,172.6,No,No,Improved,3.24
Taraba,Rice,1.25,1000.3,28.3,4.49,Clay,150,No,No,Local,2.45
Adamawa,Maize,1.79,1267.5,29,6.71,Clay,54.2,Yes,Yes,Local,2.76
Oyo,Yam,1.08,2320.8,28,5.01,Clay,164.7,No,No,Local,5.54
Bayelsa,Sorghum,3.08,2458.1,24.9,4.66,Clay,32.3,No,No,Improved,1.29
Anambra,Yam,1.92,2187,29.7,6.89,Clay,115.2,Yes,No,Improved,8.35
Katsina,Rice,1.78,350.5,30.3,5.67,Sandy,113.4,No,No,Local,3.02
Niger,Maize,0.53,1223.9,28.8,7.09,Sandy,145.9,Yes,No,Local,2.49
Kaduna,Cassava,11.44,881,32.2,6.1,Sandy,88.2,No,No,Local,9
Adamawa,Rice,2.02,1003.9,25.5,6.91,Loamy,124.2,No,No,Local,2.67
Kebbi,Yam,0.6,633.3,33.1,5.56,Sandy,182.2,No,No,Local,6.28
Akwa Ibom,Rice,3.07,1802.6,27.9,6.66,Loamy,86.4,No,No,Improved,1.95
Ebonyi,Sorghum,3.54,2312.6,28.3,5.99,Loamy,78.5,Yes,Yes,Local,1.13
Yobe,Yam,1.69,461.8,31,6.34,Sandy,88.4,Yes,No,Local,8.35
Cross River,Maize,0.99,1724.4,25.1,5.77,Clay,89.1,No,Yes,Improved,3.1
Ebonyi,Maize,2.57,1513.3,24.8,6.46,Loamy,129.7,Yes,No,Local,1.77
Katsina,Yam,0.6,568.1,29.6,7.24,Sandy,73.6,Yes,No,Local,7.69
Enugu,Cassava,2.17,1514.8,27.7,5.06,Clay,160.5,No,No,Improved,9.49
Rivers,Maize,0.82,1941.8,22.4,4.59,Loamy,113.8,No,No,Improved,2.31
Edo,Maize,0.24,2044.4,23.6,5.59,Sandy,98.2,Yes,No,Improved,2.66
Taraba,Rice,2.45,1224.5,29.7,5.53,Loamy,92.5,Yes,No,Local,3.26
Nasarawa,Cassava,0.37,1161.2,29.7,6.1,Loamy,57.5,No,No,Improved,12.96
Kwara,Yam,1.18,1013.4,30.9,4.79,Clay,154.2,No,No,Local,5.88
Jigawa,Maize,5.17,592.8,29.3,6.01,Sandy,104,No,No,Local,1.68
Kebbi,Cassava,2.38,839.5,27.9,6.68,Sandy,49.7,Yes,Yes,Improved,11.79
Ogun,Rice,2.02,1854.2,27.2,6.24,Clay,169.8,Yes,No,Local,2.28
Ondo,Rice,5.13,1805.5,27.6,5.27,Loamy,62,Yes,No,Improved,3.75
Niger,Sorghum,2.74,1058.7,26.6,5.57,Loamy,26.7,Yes,Yes,Local,1.22
Kaduna,Maize,1.2,841.1,31.4,5.55,Sandy,118.2,No,No,Local,2.46
Gombe,Cassava,0.68,985.8,29.8,5.69,Sandy,57.7,No,No,Local,9.11
Sokoto,Sorghum,6.86,540.6,30.7,5.38,Loamy,0,Yes,No,Local,1.34
Akwa Ibom,Yam,0.32,1978,25.7,5.4,Sandy,73.6,Yes,Yes,Local,11.68
Cross River,Rice,1.95,1601.9,27,6.16,Loamy,110,Yes,No,Improved,3.34
Kaduna,Maize,1.28,875.4,29.5,6.78,Clay,166.4,No,No,Improved,2.22
Oyo,Rice,5.19,2358.6,26.9,5.62,Clay,118.8,No,No,Local,2.57
Borno,Maize,1.38,496,28.7,5.17,Sandy,133.6,No,No,Improved,2.77
Benue,Cassava,2.57,1414.5,28.2,6.07,Loamy,45,No,No,Local,10.09
Adamawa,Rice,1.34,1221,30.1,6.12,Sandy,163.1,No,No,Improved,2.3
Kaduna,Cassava,0.42,780,32.1,7.32,Loamy,46.7,No,No,Local,4.33
Ogun,Cassava,0.93,2195.8,22.7,5.72,Loamy,148.8,No,No,Local,6.73
Ebonyi,Sorghum,1.6,1816.3,25.2,6.54,Sandy,105.8,Yes,No,Improved,1.53
Benue,Sorghum,1.41,1156.5,27.2,6.53,Loamy,87,No,Yes,Local,1.44
Borno,Yam,0.98,663.6,28.8,6.49,Loamy,120.5,No,No,Local,5.94
Edo,Sorghum,2.8,2040.7,28.6,6,Loamy,85.3,No,No,Local,1.25
Borno,Yam,1.45,635.3,34.3,5.36,Sandy,74.4,No,No,Local,7.53
Ebonyi,Sorghum,10.26,1768.2,28.5,6.08,Loamy,40,No,No,Local,1.21
Ogun,Yam,7.33,1835.1,23.8,5.27,Loamy,105.5,Yes,Yes,Local,3.13
Kwara,Cassava,2.04,1215,25.9,6.55,Loamy,47,Yes,No,Improved,11.16
Enugu,Sorghum,0.63,1990.9,22.4,6.55,Loamy,0,No,No,Local,0.91
Anambra,Cassava,3.05,1509.5,26.7,6.16,Loamy,44.2,Yes,No,Local,10.62
Rivers,Cassava,0.41,1683.4,28.4,6.47,Clay,102.5,No,No,Improved,9.9
Delta,Yam,0.2,1679.2,22.6,6.38,Loamy,110.2,Yes,No,Local,7.84
Ondo,Sorghum,0.97,2332.2,23.8,4.92,Sandy,113.9,Yes,No,Improved,1.52
Sokoto,Sorghum,3.63,444.6,33,5.38,Sandy,70.8,No,No,Local,1.32
Anambra,Maize,3.12,2126.6,23.3,6.17,Loamy,92.6,Yes,No,Improved,2.02
Jigawa,Sorghum,1.04,501,28.5,5.16,Sandy,15,No,No,Local,1.15
Abia,Rice,4.65,2055.9,27.6,6.23,Sandy,87.3,No,No,Improved,3.51
Benue,Rice,1.53,1020.4,28.3,6.14,Clay,137.1,Yes,No,Improved,4.08
Delta,Yam,1.37,1595.6,27.6,5.06,Loamy,77.1,No,No,Improved,9.15
Gombe,Sorghum,3.74,728.7,26.5,6.11,Loamy,28.2,No,No,Local,1.5
Gombe,Cassava,0.35,734.8,33.6,5.77,Loamy,79.5,No,No,Local,6.86
Oyo,Maize,2.87,2238.9,24.4,5.63,Clay,115.6,No,No,Local,2.1
Cross River,Rice,1.25,2093.2,25.4,5.75,Clay,143.5,No,No,Local,3.07
Edo,Maize,7.03,2195.5,22,6.61,Sandy,84.6,No,No,Local,1.42
Imo,Cassava,2.01,2435.3,25,5.42,Clay,113.2,No,No,Improved,10.4
Cross River,Rice,2.03,2256.5,28.1,6.77,Sandy,77.6,No,Yes,Improved,3.54
Kwara,Sorghum,3.96,1420.2,28.2,6.5,Loamy,45.6,No,No,Improved,1.44
Kwara,Rice,0.61,1098.2,29.8,5.84,Loamy,100.9,No,No,Local,2.48
Plateau,Rice,0.97,1431.8,31.2,7.21,Sandy,169.5,No,No,Improved,2.37
Akwa Ibom,Yam,3.22,1740,28.4,5.82,Loamy,159.4,No,Yes,Local,8.9
Adamawa,Maize,0.47,1200.1,24,6.63,Clay,144.8,Yes,Yes,Local,3.38
Bayelsa,Rice,0.65,1849.8,27.7,6.36,Loamy,122.8,Yes,No,Improved,2.77
Kogi,Rice,0.73,1368.9,31.2,5.5,Sandy,109,Yes,No,Local,2.69
Abia,Cassava,0.2,1670.1,26.2,5.36,Clay,55.9,No,Yes,Local,4.82
Katsina,Yam,2.86,332.9,37.1,6.8,Sandy,120.5,No,No,Local,6.93
Katsina,Rice,0.2,600.9,35.7,4.83,Clay,111.5,No,No,Local,2.66
Bauchi,Cassava,0.87,931.5,32.1,6.19,Sandy,95.7,Yes,No,Local,9.81
Yobe,Rice,0.75,304.4,34.9,6.41,Sandy,118.6,Yes,No,Improved,3.37
Enugu,Rice,0.26,1667.3,25.6,7.15,Clay,91.9,Yes,Yes,Improved,4.55
Adamawa,Rice,2.81,1011.7,24,7.7,Sandy,69.5,No,Yes,Local,3
Anambra,Yam,1.91,1912.8,29.1,5.12,Loamy,131.8,Yes,No,Improved,9.45
Ogun,Sorghum,2.73,2420.5,26.7,5.58,Clay,80.7,No,No,Local,0.93
Delta,Cassava,0.76,1681.6,23.8,5.05,Sandy,84.7,No,No,Local,4.02
Plateau,Sorghum,1.86,1379.6,29.7,5.18,Sandy,61,Yes,No,Improved,1.56
Oyo,Sorghum,2.42,1948,24.3,5.46,Loamy,15.9,No,No,Local,1.15
Adamawa,Maize,0.85,1268.4,28.6,6.81,Loamy,80.5,No,No,Improved,2.64
Gombe,Rice,0.8,904.9,34,5.45,Clay,81.9,No,No,Local,2.87
Imo,Maize,5.18,1873.6,26.7,6.65,Clay,182.2,Yes,No,Local,2.14
Akwa Ibom,Yam,0.73,2048.3,22.4,6.37,Loamy,159,No,Yes,Local,7.54
Benue,Sorghum,2.24,1327,24.5,5.45,Loamy,8.3,Yes,Yes,Local,1.3
Benue,Maize,0.72,1035.6,29.4,5.54,Loamy,73.7,Yes,No,Local,2.28
Kwara,Maize,0.58,1140.3,26.1,6.22,Clay,167.7,No,No,Improved,3.26
Ondo,Maize,0.88,2198,27.6,6.1,Sandy,153.3,No,No,Improved,2.66
Delta,Cassava,1.15,2315.1,23.1,7.25,Loamy,119.9,No,Yes,Local,8.89
Bayelsa,Cassava,0.74,1606.5,27.6,6.27,Loamy,113.8,No,No,Improved,11.1
Cross River,Yam,0.41,1731,27.6,6.04,Clay,168.8,No,No,Local,7.2
Kogi,Yam,0.89,1392.3,29.1,5.46,Clay,107.7,No,No,Local,7.94
Kebbi,Sorghum,1.44,749.5,32.7,6.58,Clay,51.6,No,Yes,Improved,2.08
Edo,Sorghum,0.9,1741,29.8,6.3,Loamy,70.9,No,No,Local,0.41
Borno,Sorghum,0.57,422.2,33.8,4.61,Sandy,36.2,No,No,Improved,1.6
Zamfara,Maize,10.78,871.6,28.1,7.23,Sandy,78.4,No,No,Improved,0.86
Bayelsa,Sorghum,2.05,1608.9,25.4,6.71,Clay,97.9,Yes,No,Local,1.32
FCT,Rice,0.81,1283.2,29.2,6.86,Loamy,83.3,No,No,Local,3.2
Niger,Sorghum,1.18,1113.6,25.5,6.19,Loamy,94.3,No,No,Local,1.23
Borno,Cassava,1.7,641.7,34.9,6.28,Sandy,96.8,No,No,Local,7.9
Delta,Cassava,2.1,2048.4,25.2,5.08,Sandy,118.6,No,No,Local,9.29
Bauchi,Sorghum,1.44,872.4,26.8,5.6,Loamy,82.9,Yes,No,Local,1.72
Lagos,Cassava,1.4,1941.1,26.6,6.9,Clay,109.9,Yes,No,Improved,13.06
Katsina,Sorghum,1.1,463.3,35.8,6.22,Sandy,1.8,No,No,Local,1.06
Ondo,Sorghum,3.63,1934.9,28.3,6.54,Clay,132.1,Yes,No,Local,0.28
Lagos,Maize,6.41,2282.7,26.6,6.84,Loamy,53,Yes,No,Local,1.96
Imo,Sorghum,0.88,2104,29.6,5.5,Loamy,162.3,Yes,No,Improved,1.15
Akwa Ibom,Yam,1.23,1917.6,27.9,5.88,Clay,120.4,Yes,No,Local,8.43
Kebbi,Rice,4.28,764.8,32.3,6.45,Sandy,130.4,No,No,Improved,3.5
Gombe,Yam,0.74,929.5,27.6,6.68,Clay,103.6,Yes,No,Local,8.76
Kaduna,Yam,5.62,946.5,33.3,6.32,Loamy,87.4,No,No,Local,8.3
Katsina,Yam,1.11,537,28.4,6.17,Loamy,0,Yes,No,Local,6.36
Cross River,Rice,3.44,1630.8,26.5,5.98,Clay,56.4,No,Yes,Improved,3.58
Taraba,Yam,4.92,1190.1,31.4,6.54,Clay,23.6,No,Yes,Local,5.69
Benue,Yam,0.78,1340.6,26.4,6.22,Loamy,140,Yes,No,Improved,10.32
Enugu,Rice,0.64,2288.8,22.7,4.99,Sandy,165.1,No,No,Local,2.38
Niger,Yam,1.14,1149.8,26.5,7.11,Sandy,60.3,Yes,No,Improved,8.16
Lagos,Yam,4.55,2430.9,26.2,7.88,Loamy,111.3,Yes,No,Local,5.71
Anambra,Cassava,0.69,1507.3,23.2,6.64,Sandy,115.1,Yes,No,Improved,10.72
Ogun,Sorghum,0.68,2122.3,27.4,5.24,Clay,120.9,No,No,Improved,1.24
Kogi,Rice,2.26,1017.3,29.7,5.49,Clay,109.7,No,No,Improved,4.12
Zamfara,Maize,1.31,831.4,27.5,5.22,Sandy,117.6,No,Yes,Local,1
Kano,Maize,10.19,836.7,35,5.48,Sandy,198.9,No,No,Improved,2.07
Zamfara,Sorghum,1.02,851.5,26.5,5.2,Sandy,88.3,Yes,No,Improved,1.76
Bayelsa,Cassava,1,1949.1,22.3,5.79,Sandy,113.4,No,No,Local,8.81
Imo,Rice,0.51,2483.9,30,6.27,Loamy,169.8,No,No,Local,2.8
Borno,Rice,2.55,435.2,31.2,5.97,Sandy,167.7,No,No,Improved,3.43
Benue,Maize,1.13,1025.3,29.7,7.51,Sandy,150.6,No,No,Local,2.1
Ogun,Sorghum,0.6,2363.2,25,5.95,Loamy,0,No,No,Local,0.35
Cross River,Cassava,0.54,2074.2,29.3,5.39,Loamy,81.5,Yes,Yes,Local,10.88
Bayelsa,Rice,0.52,1709.3,24.5,5.72,Sandy,131.4,Yes,No,Improved,3.69
Ogun,Maize,2.55,2112.8,26.7,6.19,Loamy,123.9,No,No,Local,2.27
Anambra,Rice,5.29,1632.7,25.6,5.62,Loamy,109.2,No,No,Improved,3.73
Ogun,Sorghum,2.06,1692.5,27.5,6.78,Loamy,87.2,Yes,No,Local,1.25
Gombe,Cassava,7.95,649.8,28.3,6.26,Loamy,109,No,No,Local,8.29
Bayelsa,Rice,5.38,2159.3,24.5,4.92,Clay,65,Yes,No,Improved,3.13
Enugu,Yam,9.94,1839.9,24.2,5.6,Clay,47.9,Yes,No,Improved,10.93
Rivers,Sorghum,0.81,1531.7,27.9,6.18,Clay,67.9,Yes,No,Improved,1.82
Anambra,Rice,0.2,2069.3,28.9,5.78,Clay,149.1,No,Yes,Local,3.7
Kaduna,Sorghum,0.78,604.2,27.5,6.39,Sandy,32.6,No,No,Local,1.34
Benue,Cassava,1.79,1199,31.2,7.05,Clay,114.7,No,Yes,Improved,12.21
Katsina,Maize,3.73,540,30.4,4.54,Sandy,82.2,Yes,No,Local,2.17
Yobe,Rice,0.64,454.7,37.7,6.41,Clay,43,Yes,No,Improved,2.55
FCT,Maize,5.99,1030.2,30.6,5.33,Loamy,154.9,Yes,No,Improved,3.25
Anambra,Cassava,1.52,2305.1,28.1,6.97,Sandy,138.5,Yes,No,Improved,9.5
Anambra,Cassava,1.32,2350,27.1,5.09,Loamy,170,Yes,No,Local,8.88
Edo,Sorghum,1.49,2402.3,24.2,5.95,Clay,127.6,No,No,Improved,0.95
Taraba,Rice,0.43,1194.7,28.7,5.16,Sandy,190,No,No,Local,2.44
Delta,Cassava,3.63,1531.6,25.9,5.15,Clay,109,Yes,Yes,Local,10.95
Kogi,Rice,2.66,1355.5,30.7,6.26,Clay,81.7,Yes,No,Improved,3.37
Taraba,Yam,1.09,1309.4,25.7,7.2,Sandy,65.2,Yes,No,Local,6.86
Niger,Yam,5.69,1021.1,31.5,5.06,Loamy,129.3,Yes,No,Improved,10.33
